,,,,,,,,
Operação ,Hectares ,SC/HÁ e R$/ha,,,,,,
Colheita Soja e Milho ,2300,2.2,,,,,,
Safrinha ,300,1.8,,,,,,
,,,,,,,,
FRETE SOJA p TRADE ,FRETE SOJA p TRADE ,FRETE SOJA p TRADE ,FRETE SOJA p TRADE ,,,,,
,T produção,T FOB,Frete,,,,,
Agroinvest X BV,1290,,,,,,,
Agroinvest x Cargil,1020,,,,,,,
Agroinvest x Placas ,1212,,,,,,,
FRETE  p Secador e Silos,FRETE  p Secador e Silos,FRETE  p Secador e Silos,FRETE  p Secador e Silos,,,,,
Produto ,T,R$/T,Total Frete,,,,,
,,,,,,,,
Soja,1200,16,,,,,,
Milho,7000,14,,,,,,
,,,,,,,Silo beg,4
,,"Cambio 5,20",,,,,Custo,
,,Total FRETE ,,,Silo bolsa,,,
TOTAL Seviçõs ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Prancha para logistica de maquinas e equipamentos ,Prancha para logistica de maquinas e equipamentos ,Prancha para logistica de maquinas e equipamentos ,,,,,,
Equipamento ,KM ,,,,,,,
Rolo faca ,800,,,,,,,
Niveladora,800,,,,,,,
Fiat strada ou s10 ,,,,,,,,
Trator alugado ,,,,,,,,
,,,,,,,,
,,,,,,,,
Fretes ,KM,,,,,,,
Quimicos,1260,,,,,,,
Embalagens ,2 viagens ,3000,,,,,,
Cascalhos ,4 viagens ,5000,,,,,,
,,,,,,,,
