,OFICINA,OFICINA
,Valor,Descrição 
,143.41,parafusos e buchas de parede
,145.8,"Assente sanitario, lampada led, fita crepe"
,2800,Cilindro oxigenio 
,231.53,Mangueira e conexões
,50.46,parafusos e porca travante 
,770,Graxa blue
,165,veneno para rato
,129.42,"oculos incorlar, antirrespingo "
,211.85,Lamina e serra circular para cortar grama 
,38.8,Plug femea 
,353,bandeirinha marca teste 
,344.92,papel toalha
,209.34,"limpa contato, grafite spray,garrafa termica e perneira "
,309,refil 
,475,"detergente,sabonete,espanador "
,51.12,Calibrador 
,177.93,lençol solteiro
,9.78,uniao de 1 azul
,126.9,"mangueira succão, abracadeira e espuma expansiva"
,442.8,"antiferrugem, limpa contato,garrafa termica, veda calha e bico de limpeza"
,77.53,porca e parafuso sextavado 
,48.75,pilha palito 
,306.57,Lanterna de cabeça
,56.61,Sifao para pias 
,255,refil 
,55.4,foice rocadeira e luva vaqueta 
,1533.17,"Estopa, fita isolante, oculos de segurança , bontinas, conjunto aplicação"
,99.63,canivete
,330,canivete zebu
,190,conjunto lubrifil da bomba de graxa
,570.49,botinas e bota pvc 
,179.7,Mini pa 
,85.77,peneira e trena 
,1021.85,mangueira hidraulica esta no estoque
,40.04,Mini lupa
,59.85,Mini lupa
,208.62,"limpa contato ,alicate, conjunto motoqueiro"
,50.4,selante
,1113.68,cruzeta cardan luva deslizante
,153,intercap e solupan
,108,Pino 
,636.57,Peçãs usadas na estalação da sirene nas maquinas e camionete
,83.88,"Abracadeira, registros "
,44.99,Alicate Rebitador
,66.44,Corda para os motor bomba
,23.17,cola junta
,342.95,luva e roupa para apicultutor
,38.72,marcador para qaudro branco
,30.9,mangueira de succao cristal azul
,27,porca 6mm
,152.5,Disco de corte e trincha
,140.5,"Bocal conico, difusor de gas e porta bico"
,150,Cartucho para impressora 
,2160.9,"Plug macho e femea, botinas de segurançã, conjunto aplicação e cartucho"
,164.8,estopa
,37.5,Valvula torneira 
,250,Gas oxigenio 
,30.6,Pregos 
,102.02,"soro fisiologico, sabao protex "
,800,Graxa blue
,135,Rolamnetos
,690,Graxa mobil 
,94.8,Oleo para motor 2 tempo
,228.6,cola vipal 
,47.57,Silicone
,29.9,Tesoura caixa primeiros socorros 
,66.4,Araldite e cola durepox
,94.4,spray verde
,226.7,Comjunto retratil
,177.9,chuveiro e torneira
,100,Filtro e fita 3m
,112,"Solupan,intercap"
,17.55,Pregos 
,131.86,espuma expansiva 
,290.91,cinta e catraca
,450,Gas mistura m3
,12.6,correia b 46
,3999,chave de impacto e makita 18v
,200,Ração peixe
,237.46,Kit reparo e limitador de altura para corta grama
,253.45,"marcarrão, fita isolante, disco desbate"
,359.46,Bico de corte e parafusos 
,112,intercap e solupan
,156.6,estopa
,295,peça para maquina de graxa
,1716.9,Aditivo
,400,Chave de venda isolada e rele fotocelula
,278.5,Soquete sextavado e gravador 
,155,Lima enxada 
,91,porca e trava
,220.25,soquete impacto e adaptador
,830.36,Rolamentos para rolo faca
,1870,Rolamentos para rolo faca
