ORÇAMENTO 22-23,ORÇAMENTO 22-23,ORÇAMENTO 22-23,ORÇAMENTO 22-23,ORÇAMENTO 22-23,,,,,,,,,,,,,,,,,,,,,
,DIESEL,Gasolina,Lubrificantes,Peças e concertos ,Silo bolsa,Veiculos ,Aluguel de carro/trator,Suprimentos,Serviços Proficionais,"Salarios, Provisões e Encargos",Avião,Contratação Serviços,Seguros ,Utilidades Fazenda ,Alimentos,Fertilizante,Quimicos,Semente ,,,,,,,
Outubro,,,,,,,,,,,,,96000,,,,,,,,,,,,
Novembro,,,,,,,,,,,,,,,,,,,,,,,,,
Dezembro,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,
Fevereiro,,,,,,,,,,,,,,,,,,,,,,,,,
Março,,,,,,,,,,,,,,,,,,,,,,,,,
Abril,,,,,,,,,,,,,,,,,,,,,,,,,
Maio,,,,,,,,,,,,,,,,,,,,,,,,,
Junho,,,,,,,,,,,,,,,,,,,,,,,,,
Julho,,,,,,,,,,,,,,,,,,,,,,,,,
Agosto,,,,,,,,,,,,,,,,,,,,,U$$/há,,,,
Setembro,,,,,,,,,,,,,,,,,,,,,,,,,
Total   ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
24-25,873061,873061,873061,767995,16516,8733,4646,142786,812270,995123,410999,871101,94566,83550,196587,2758778.541415206,2067511.223328186,1511168.288,10986278.71901443,5930820.666271036,,,,,
Realizado 23-24,700501.45,700501.45,700501.45,687314.62,17629.37,7284.81,0,97114.28,644446.82,896802.99,-271514.77,1022660.5,69423.5,104331.61,165702.01,2424711,2483600,2042476,,,,,,,
Realizado 23-24,1007230,1007230,1007230,442901.0899999999,11440,7497.469999999999,0,133422,907493.2257142857,714449.5674107972,332262.36,1063200,33859.32,137089.96,152681.3574,2122830,1812595,1829700,,,,,,,
Realizado 22-23,1072358,1072358,1072358,816622,95121,5660,109000,160587,395630,1065858,335462,2866224,,184570,254116,,,,,,,,,,
Realizado 21-22,1717934,1717934,1717934,960925,188221,9150,43707,71842,298686,1003922,216259,2667281,,153895,225555,4537127,5666912,2825189,,,,,,,
Realizado  20-21,578356.23,578356.23,578356.23,162336.635,53067.12962962962,5046.219999999998,0,56679.48833333332,242050.9598000001,661110.6757456919,305977.2404914735,2178115,0,86875,99000,0,4849531.025,2171360,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
custo/há orçado,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Custo/há realizado,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,888,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,347.5700000000001,4127,,,,,,,,,,,,,,,,,,
,,,,,,667.19,1642,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
