,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Semente,Semente,Semente,Semente,,Quimicos ,Quimicos ,Quimicos ,Quimicos ,,Adubo ,Adubo ,Adubo ,Adubo ,,,,,,,
Agroinvest,Hectar,U$/há,Total ,,Agroinvest,Hectar,U$/há,Total,,Agroinvest ,Hectar,U$/há,Total ,,,,,,,
Soja Intacta,900,83.57,,,Soja Intacta,,154.15,,,Soja ,,105,,,,,,,,
Soja Convencional ,0,0,,,Soja Convencional ,,0,,,Milho ,,406,,,,,,,,
Milho Refugio ,0,0,,,Milho Refugio ,,0,,,Algodão ,,0,,,,,,,,
Milho Leptra,1380,187,,,Milho Leptra,,138.61,,,,,,,,,,,,,
Milho PRO/PW,0,0,,,Milho PRO/PW,,0,,,,,,,,,,,,,
Algodão WS ,0,0,,,Algodão WS ,,0,,,,,,,,,,,,,
Algodão GLT,0,0,,,Algodão GLT,,0,,,,,,,,,,,,,
Algodão B2RRF,0,0,,,Algodão B2RRF,,0,,,,,,,,,,,,,
Algodão RR,0,0,,,Algodão RR,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,SAFRA 25-26,SAFRA 25-26,SAFRA 25-26,SAFRA 25-26,SAFRA 25-26,,,,,,,,,,,
,,,,,Soja,,900,,,,,,,,,,,,,
,,,,,Milho,,1380,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,SAFRA 24-25,SAFRA 24-25,SAFRA 24-25,SAFRA 24-25,SAFRA 24-25,,,,,,,,,,,
,,,,,Soja,358.6897699782767,1380,494991.8825700218,2771954.542392122,,,,,,,,,,,
,,,,,Milho,694.2504560175055,900,624825.4104157549,3499022.298328227,,,,,,,,,,,
,,,,,,,,1119817.292985777,6270976.840720349,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,SAFRA 23-24,SAFRA 23-24,SAFRA 23-24,SAFRA 23-24,SAFRA 23-24,,,,,,,,,,,
,,,,,Soja,360.39,1600,,,,,,,,,,,,,
,,,,,Milho,823.4300000000001,700,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,SAFRA 22-23,SAFRA 22-23,SAFRA 22-23,SAFRA 22-23,SAFRA 22-23,,,,,,,,,,,
,,,,,Soja,360.69,1600,,,,,,,,,,,,,
,,,,,Milho,,700,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,SAFRA 21-22,SAFRA 21-22,SAFRA 21-22,SAFRA 21-22,SAFRA 21-22,,,,,,,,,,,
,,,,,Soja,347.5700000000001,4127,,,,,,,,,,,,,
,,,,,Milho,667.19,1642,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,SAFRA 20-21,SAFRA 20-21,SAFRA 20-21,SAFRA 20-21,SAFRA 20-21,,,,,,,,,,,
,,,,,Soja,,5750,,,,,,,,,,,,,
,,,,,Milho,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
