Máquinas N,Numero,Outubro,Novembro,Dezembro,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Total P/ Maquina 20/21,
Pa ,95,2500,,,,,2500,,,1300,500,,,,
M4030,87,40000,5000,5300,6200,5200,4000,2500,4200,10000,6500,3500,15000,,
DN4040,,3000,2500,600,300,2400,500,300,,6000,,,12000,,
Plant Braquiaria,,1200,1200,,,,,,,,,2500,,,
Plant 2134,10,,1700,,,,,,12000,600,600,,2000,,
DB ,55,5100,3000,6300,2500,3100,,,,,,8000,,,
8370R,32,12000,6000,2400,1200,30000,15000,1875,3000,12000,,,,,
8335R,41,8000,6000,3100,10000,,19000,,,30000,,,,,
5403,35,2500,3200,450,,,600,600,450,,,,3500,,
Bross preta ,24,800,200,200,,,,200,,,,600,,,
Bros,97,800,350,,,,,350,,,,,800,,
Tilleer GTS,107,,,,,,,2000,,,,,,,
Terrus Gts 12 H,109,8000,,,,,3500,,,,,,,,
Rolo faca ,,,2000,,,,,,,,,,,,
Extratora,105,,,,,,,,,,,,,,
F4000,74,5300,1200,1200,600,910,4600,,,,,,,,
Ford Cargo,,20000,2000,1000,1000,2500,2400,,10000,,,,2200,,
Romerio s10,53,3000,650,2500,3000,,750,,2700,750,10000,1300,2500,,
S10 compras e schu ,,,,,,,,5000,,,,,,,
Pipa da agua,,3300,2500,370,,660,,1800,,,,,,,
Oficina,,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,,
Sede,,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,
F-4000  nova,,2300,1500,,1000,,2400,,500,,800,,1500,,
Silo,,10000,,,6400,6400,,6000,6000,,,,,,
Gerador,,,,,,1200,,,,,1300,1200,,,
Escritorio,,150,600,300,700,700,700,700,200,130,1500,1400,2500,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
